,name,price,description
0,Home in New Delhi,"₹2,979 ",Modern & Cozy Studio| Private entrance| Patio
1,Flat in New Delhi,"₹2,699 ",Boutique Modern Studio| Private balcony & kitchen
2,Place to stay in New Delhi,"₹6,498 ₹5,820 ",Cinema Home Theatre + Luxurious Jacuzzi Apartment
3,Hotel room in New Delhi,"₹1,472 ",Private Room near New Delhi Station & City Centre
4,Room in New Delhi,"₹1,457 ","Private Room near New Delhi Stn ,City Centre & VFS"
5,Flat in New Delhi,"₹4,332 ",Spacious 2BHK prime location w/ big Livingroom (8)
6,Flat in New Delhi,"₹6,847 ",3BD WOW!so quiet yet so convenient. 3 min to metro
7,Room in New Delhi,"₹2,880 ",F18 India bnb - Modern bedroom - Room 3
8,Apartment in New Delhi,"₹2,478 ",private cosy 1BHK Studio fast WiFi+ private gym
9,Boutique hotel in New Delhi,"₹1,369 ",New Concept private room near to Airport
10,Hut in IN,"₹4,555 ","Insta-Worthy, Private cottage with lush-green view"
11,Room in New Delhi,"₹1,827 ",Couple-Friendly Room in  quiet area of South Delhi
12,Hotel room in New Delhi,"₹2,493 ",A Bright & Cozy Modern room with Tv & Wifi
13,Bed and breakfast in New Delhi,"₹2,282 ",Gracious by Vishesh Hotels & Home Stay Listing 3
14,Apartment in New Delhi,"₹2,967 ",Baikunth《बैकुंठ》The Luxury Appt.
15,Room in New Delhi,"₹2,056 ",Sunrise View BedRoom*Pvt Bath/Balcony*City Centre
16,Shared room in New Delhi,₹799 ,Zostel Delhi | Bed in 6 Bed Mixed Dorm
17,Hotel in New Delhi,"₹1,145 ",AC rooms attached washroom A comfortable  unit
18,Place to stay in New Delhi,₹842 ,Long Stay in Luxury Apartment Near Airport/Gurgaon
19,Hotel in New Delhi,"₹1,164 ₹1,008 ",Budget and comfy Hotel with  friendly environment.
20,Room in Delhi,"₹1,837 ",Nest-In Terrace Studio
21,Hotel in New Delhi,"₹1,145 ",AC rooms attached washroom A comfortable  unit
22,Room in New Delhi,"₹2,842 ",Super Luxury Suite Room Near C.P. / India Gate
23,Room in New Delhi,"₹3,252 ",SARAI KHAAS 4 @ Hauz Khas Village
24,Hotel room in New Delhi,"₹1,457 ",Private room nr City Centre &New Delhi Railway stn
25,Room in New Delhi,"₹2,880 ",F18 India bnb - Modern bedroom - Room 3
26,Apartment in New Delhi,"₹2,817 ₹2,417 ",Elegant Studio Apt (11103) in Central Delhi
27,Flat in New Delhi,"₹1,723 ₹1,570 ",Comfortable HomeStay with Yoga room and Breakfast
28,Flat in New Delhi,"₹2,395 ",Cozy Roof Top Nook @ Kochar's Paradise
29,Flat in New Delhi,"₹6,391 ",The Royal Heritage @hkv
30,Home in New Delhi,"₹3,623 ₹3,301 ",Duchatti@haveli loft in Green Park
31,Flat in New Delhi,"₹2,921 ","Ibteda, 1RK studio"
32,Apartment in New Delhi,"₹3,595 ","Wild Walk Chalet, bohemian 2bhk, Central Delhi"
